,loss,out1_loss,out2_loss,val_loss,val_out1_loss,val_out2_loss
0,389.572021484375,138.52841186523438,251.00393676757812,174.36676025390625,64.64466094970703,109.68107604980469
1,156.88571166992188,57.03659439086914,99.80707550048828,137.76498413085938,50.63450622558594,87.08718872070312
2,125.02591705322266,44.91921615600586,80.06137084960938,111.29488372802734,40.050323486328125,71.19683074951172
3,100.94894409179688,35.50989532470703,65.38922119140625,96.83544921875,34.89165496826172,61.892059326171875
4,90.9884033203125,31.769136428833008,59.166255950927734,89.16690063476562,31.653779983520508,57.45893096923828
5,83.84647369384766,29.43099021911621,54.36020278930664,84.3542251586914,29.67212677001953,54.625762939453125
6,78.61962890625,27.558664321899414,51.0033073425293,75.98210906982422,26.9061279296875,49.01741409301758
7,73.53658294677734,25.87472152709961,47.60198974609375,72.94512939453125,25.862232208251953,47.02195358276367
8,68.41329956054688,24.142980575561523,44.2081298828125,67.3723373413086,23.875288009643555,43.433876037597656
9,65.2470932006836,22.994945526123047,42.1878776550293,64.17960357666016,22.716827392578125,41.39738464355469
10,62.21533203125,22.263174057006836,39.885414123535156,68.51883697509766,24.486583709716797,43.96453857421875
11,60.2823486328125,21.41037368774414,38.80314636230469,70.19248962402344,25.175783157348633,44.947078704833984
12,59.20379638671875,21.170923233032227,37.962162017822266,63.9779052734375,22.74092674255371,41.165096282958984
13,55.14894485473633,19.777870178222656,35.29827880859375,65.80595397949219,23.435972213745117,42.296295166015625
14,52.15386962890625,18.760143280029297,33.318824768066406,55.74173355102539,19.890886306762695,35.77493667602539
15,49.94471740722656,17.900188446044922,31.967500686645508,54.38788604736328,19.255754470825195,35.053951263427734
16,47.641380310058594,17.257211685180664,30.305068969726562,56.642459869384766,20.05387306213379,36.5084114074707
17,47.78413772583008,17.2829647064209,30.420175552368164,52.03044891357422,18.835126876831055,33.113162994384766
18,45.236507415771484,16.388551712036133,28.764917373657227,53.48469924926758,19.37420654296875,34.02632522583008
19,42.557090759277344,15.490493774414062,26.981441497802734,51.80906677246094,18.56231689453125,33.16062545776367
20,42.3753547668457,15.38486385345459,26.903295516967773,62.90666961669922,22.31139373779297,40.50697708129883
21,42.2403564453125,15.468613624572754,26.682735443115234,53.39751052856445,19.12636375427246,34.1812858581543
22,39.71540832519531,14.55943775177002,25.065279006958008,48.11194610595703,17.399755477905273,30.620624542236328
23,38.02469253540039,13.946697235107422,23.98529815673828,47.40394973754883,17.0380802154541,30.271957397460938
24,36.865753173828125,13.476590156555176,23.294471740722656,45.93520736694336,16.747716903686523,29.091880798339844
25,36.727333068847656,13.426084518432617,23.20457649230957,45.2508659362793,16.63376235961914,28.519298553466797
26,35.27849578857422,12.973030090332031,22.206710815429688,44.021968841552734,15.88969898223877,28.032485961914062
27,34.40106964111328,12.597341537475586,21.7030086517334,46.439849853515625,16.500844955444336,29.837230682373047
28,33.17732238769531,12.192444801330566,20.882118225097656,46.80197525024414,16.77339744567871,29.924917221069336
29,31.857011795043945,11.679323196411133,20.07296371459961,42.27928924560547,15.212060928344727,26.961524963378906
